number,name,birth,position,height,weight,foot,club,class,특성1,특성2,특성3,특성4,특성5,특성6,특성7
11,A. 디 마리아,1988-2-14,LW,180,65,left,파리 생제르망 FC,2,예리한 감아차기,중거리 슛 선호,얼리 크로스 선호,화려한 개인기,테크니컬 드리블러,
10,L. 메시,1987-6-25,CF,170,72,left,FC 바르셀로나,3,중거리 슛 선호,아웃사이드 슈팅.크로스,테크니컬 드리블러,예리한 감아차기,플레이 메이커,칩슛 선호
22,C. 파본,1996-1-21,RW,174,78,right,CA 보카 주니어스,0,강철몸,스피드 드리블러,중거리 슛 선호,테크니컬 드리블러,,,
13,M. 메사,1992-12-15,RW,180,72,right,CF 몬테레이,0,화려한 개인기,중거리 슛 선호,플레이 메이커,,,,
7,E. 바네가,1988-6-29,LM,175,74,right,세비야 FC,1,얼리 크로스 선호,긴 패스 선호,플레이 메이커,테크니컬 드리블러,예리한 감아차기,중거리 슛 선호,아웃사이드 슈팅.크로스
14,J. 마스체라노,1984-6-8,CM,174,73,right,허베이 화샤 싱푸,2,강철몸,긴 패스 선호,슬라이딩 태클 선호,패스 마스터,,,
15,E. 페레스,1986-2-22,RM,178,77,right,CA 리버 플레이트,1,플레이 메이커,,,,,,
19,S. 아궤로,1988-6-2,RM,173,70,right,맨체스터 시티 FC,2,예리한 감아차기,칩슛 선호,테크니컬 드리블러,,,,
3,N. 탈리아피코,1992-8-31,LB,172,65,left,AFC 아약스,1,강철몸,파워 헤더,팀 플레이어,,,,
16,M. 로호,1990-3-20,CB,187,85,left,맨체스터 유나이티드 FC,1,슬라이딩 태클 선호,,,,,,
6,F. 파지오,1987-3-18,CB,195,85,right,AS 로마,1,리더십,파워 헤더,,,,,
17,N. 오타멘디,1988-2-12,CB,183,81,right,맨체스터 시티 FC,2,강철몸,긴 패스 선호,슬라이딩 태클 선호,파워 헤더,,,
2,G. 메르카도,1987-3-18,RB,181,78,right,세비야 FC,0,장거리 스로인,,,,,,
12,F. 아르마니,1986-10-16,GK,189,88,right,CA 리버 플레이트,0,GK 적극적 크로스 수비,,,,,,
