number,name,birth,position,height,weight,foot,club,class,특성1,특성2,특성3,특성4,특성5,특성6,특성7
1,H. 요리스,1986-12-26,GK,188,82,left,토트넘 홋스퍼 FC,2,GK 능숙한 펀칭,스위퍼 키퍼,GK 적극적 크로스 수비,,,,
2,B. 파바르,1996-3-28,RB,186,81,right,VfB 슈투트가르트,2,슬라이딩 태클 선호,중거리 슛 선호,,,,,
4,R. 바란,1993-4-25,CB,191,81,right,레알 마드리드 CF,2,슬라이딩 태클 선호,긴 패스 선호,파워 헤더,,,,
5,S. 움티티,1993-11-14,CB,182,75,left,FC 바르셀로나,1,긴 패스 선호,,,,,,
21,L. 에르난데스,1996-2-14,LB,184,79,left,아틀레티코 마드리드,1,유리몸,파워 헤더,팀 플레이어,,,,
13,N. 캉테,1991-3-29,CM,171,71,right,첼시 FC,2,슬라이딩 태클 선호,승부욕,,,,,
6,P. 포그바,1993-3-15,CM,191,84,right,맨체스터 유나이티드 FC,2,예리한 감아차기,긴 패스 선호,플레이 메이커,화려한 개인기,중거리 슛 선호,테크니컬 드리블러,
10,K. 음바페,1998-12-20,RW,178,73,right,파리 생제르맹 FC,2,예리한 감아차기,스피드 드리블러,화려한 개인기,테크니컬 드리블러,,,
20,F. 토뱅,1993-1-26,RW,179,70,right,올랭피크 드 마르세유,1,얼리 크로스 선호,중거리 슛 선호,예리한 감아차기,테크니컬 드리블러,,,
7,A. 그리즈만,1991-3-21,AM,176,73,left,아틀레티코 마드리드,2,예리한 감아차기,중거리 슛 선호,아웃사이드 슈팅.크로스,화려한 개인기,플레이 메이커,테크니컬 드리블러,
18,N. 페키르,1993-7-18,AM,173,72,left,올랭피크 리옹,1,얼리 크로스 선호,화려한 개인기,테크니컬 드리블러,예리한 감아차기,플레이 메이커,,
14,B. 마튀이디,1987-4-9,LW,180,76,left,유벤투스 FC,2,강철몸,승부욕,테크니컬 드리블러,,,,
12,C. 톨리소,1994-8-3,LW,181,78,right,FC 바이에른 뮌헨,1,긴 패스 선호,중거리 슛 선호,파워 헤더,팀 플레이어,,,
9,O. 지루,1986-9-30,CF,193,91,left,첼시 FC,2,파워 헤더,예리한 감아차기,아웃사이드 슈팅.크로스,화려한 개인기,,,
