player_name,Unnamed: 0,team_id,player_id,playing_time,goals,assists,own_goals,total_shots,shots_on_target,rfoot_shots,lfoot_shots,header_shots,fouls,offsides,yellow_cards,red_cards,total_passes,acc_passes,pass_accuracy,key_passes,interceptions,tackle,tackle_accuracy,clearances,successful_tackles,total_saves,successful_saves,save_rate
A. Aguilar,864,12430,4814,1920.0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,0.67,0,0,1,0.0,0,0,0,0,0
A. Arroyo,829,17929,131602,1581.0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1.0,0,0,3,0.67,0,2,0,0,0
A. Badri,1122,32552,56188,11587.9,0,0,0,2,2,0,2,0,0,0,0,0,66,57,1.7200000000000002,0,9,19,1.35,2,13,0,0,0
A. Behich,1751,25479,184953,17195.5,0,0,1,2,0,1,1,0,4,0,1,0,164,135,2.4699999999999998,0,11,42,1.88,2,26,0,0,0
A. Beiranvand,1591,32520,714093,17744.5,0,0,0,0,0,0,0,0,0,0,0,0,39,31,2.38,0,0,1,1.0,0,1,10,8,0
A. Bouhaddouz,1061,32432,31454,2119.0,0,0,1,0,0,0,0,0,1,0,0,0,2,2,2.0,0,1,3,2.0,1,3,0,0,0
A. Carrillo,1830,46782,210468,16395.1,1,0,0,3,2,2,1,0,2,1,0,0,101,81,2.39,2,5,67,2.05,0,45,0,0,0
A. Christensen,1773,23136,405309,16382.300000000001,0,0,0,0,0,0,0,0,2,0,0,0,148,141,2.85,0,18,12,2.67,13,11,0,0,0
A. Cooper,1173,35858,172822,11612.7,0,0,0,1,0,1,0,0,4,0,2,0,71,62,1.75,3,4,34,1.2999999999999998,0,22,0,0,0
A. Cornelius,1595,15424,270300,6056.9,0,0,0,1,1,0,0,1,2,0,0,0,17,10,1.18,1,1,15,1.16,0,11,0,0,0
A. Dzagoev,4,14358,101590,1440.0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0.88,0,0,4,1.0,0,4,0,0,0
A. Dzyuba,1353,43074,305007,12028.2,2,0,0,4,2,1,1,2,11,2,0,0,42,33,2.3899999999999997,1,4,50,1.75,2,28,0,0,0
A. Ekdal,1108,14094,41752,10268.9,0,0,0,0,0,0,0,0,2,0,1,0,83,74,1.65,0,6,19,1.35,1,13,0,0,0
A. El Kaabi,585,32432,1105110,6117.9,0,0,0,1,0,0,1,0,2,0,0,0,5,4,1.67,0,0,3,1.5,1,2,0,0,0
A. Finnbogason,1869,23517,113844,16407.1,1,0,0,5,2,3,2,0,7,0,1,0,49,39,2.4,0,7,41,1.7800000000000002,0,24,0,0,0
A. Godoy,1175,35858,172828,9671.7,0,0,0,1,0,0,1,0,4,0,1,0,78,71,1.82,0,7,16,1.29,1,10,0,0,0
A. Golovin,473,28716,515600,11448.4,1,2,0,2,1,2,0,0,7,0,1,0,81,61,1.5,0,10,54,1.21,0,32,0,0,0
A. Granqvist,1110,14094,42550,11717.9,1,0,0,3,2,2,0,1,3,0,0,0,87,78,1.7200000000000002,0,18,8,0.8300000000000001,8,3,0,0,0
A. Griezmann,1702,13254,11046,13226.4,1,0,0,8,5,4,4,0,3,1,0,0,94,68,2.12,2,1,20,2.49,0,17,0,0,0
A. Guardado,1031,30946,6768,8565.3,0,0,0,3,1,1,2,0,0,0,0,0,59,51,1.73,0,6,16,1.67,3,13,0,0,0
A. Gudmundsson,1069,7839,216568,603.3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0,0,1,1.0,0,1,0,0,0
A. Gunnarsson,1897,23517,232563,15641.1,0,0,0,2,1,1,0,1,1,0,0,0,81,67,2.4299999999999997,0,10,30,1.7,2,17,0,0,0
A. Hakimi,1582,48648,1189425,17681.0,0,0,0,1,0,1,0,0,3,0,1,0,101,83,2.52,1,12,38,1.9699999999999998,8,25,0,0,0
A. Harit,81,16216,372915,5002.7,0,0,0,3,1,3,0,0,1,0,0,0,25,19,0.76,0,1,22,0.64,0,14,0,0,0
A. Iwobi,2015,50469,690060,4521.599999999999,0,0,0,4,0,3,1,0,1,0,0,0,24,20,2.81,0,2,9,1.17,1,5,0,0,0
A. Jahanbakhsh,1582,32520,238143,10630.7,0,0,0,2,1,2,0,0,5,0,1,0,44,29,1.9900000000000002,1,7,27,1.69,2,15,0,0,0
A. Kolarov,952,34644,16612,11843.7,1,0,0,2,1,0,2,0,3,0,0,0,67,49,1.45,0,11,14,1.36,1,9,0,0,0
A. Kramarić,1904,28794,208233,11768.6,0,0,0,4,0,2,1,1,1,3,0,0,69,56,2.36,1,1,19,1.82,1,12,0,0,0
A. Ljajić,955,34644,41882,6204.0,0,0,0,1,0,1,0,0,0,0,0,0,30,25,1.7000000000000002,0,0,13,1.71,0,11,0,0,0
A. Maâloul,1126,32552,241678,11587.9,0,0,0,0,0,0,0,0,1,0,0,0,100,85,1.7,0,9,13,1.21,3,8,0,0,0
A. Milik,427,13869,99452,4437.4,0,0,0,1,0,0,1,0,0,1,0,0,23,14,0.61,0,1,6,0.5,0,3,0,0,0
