period,start_time,end_time,duration,player_names,team_name
1H,0.0,2881.599,2881.599,"['M. Özil', 'T. Kroos', 'N. Süle', 'M. Neuer', 'S. Khedira', 'M. Hummels', 'J. Hector', 'J. Kimmich', 'M. Reus', 'T. Werner', 'L. Goretzka']",Germany
1H,0.0,2881.599,2881.599,"['Seon-Min Moon', 'Ja-Cheol Koo', 'Young-Gwon Kim', 'Jae-Sung Lee', 'Yong Lee', 'Son Heung-Min', 'Woo-Young Jung', 'Young-Sun Yun', 'Chul Hong', 'Hyun-Woo Cho', 'Hyun-Soo Jang']",Korea Republic
2H,0.0,600.0,600.0,"['M. Özil', 'T. Kroos', 'N. Süle', 'M. Neuer', 'S. Khedira', 'M. Hummels', 'J. Hector', 'J. Kimmich', 'M. Reus', 'T. Werner', 'L. Goretzka']",Germany
2H,0.0,600.0,600.0,"['Seon-Min Moon', 'Ja-Cheol Koo', 'Young-Gwon Kim', 'Jae-Sung Lee', 'Yong Lee', 'Son Heung-Min', 'Woo-Young Jung', 'Young-Sun Yun', 'Chul Hong', 'Hyun-Woo Cho', 'Hyun-Soo Jang']",Korea Republic
2H,600.0,720.0,120.0,"['M. Özil', 'T. Kroos', 'N. Süle', 'M. Neuer', 'S. Khedira', 'M. Hummels', 'J. Hector', 'J. Kimmich', 'M. Reus', 'T. Werner', 'L. Goretzka']",Germany
2H,600.0,720.0,120.0,"['Seon-Min Moon', 'Young-Gwon Kim', 'Jae-Sung Lee', 'Yong Lee', 'Son Heung-Min', 'Woo-Young Jung', 'Young-Sun Yun', 'Chul Hong', 'Hyun-Woo Cho', 'Hyun-Soo Jang', 'Hwang Hee-Chan']",Korea Republic
2H,720.0,1020.0,300.0,"['M. Özil', 'T. Kroos', 'N. Süle', 'M. Neuer', 'M. Hummels', 'J. Hector', 'J. Kimmich', 'M. Reus', 'T. Werner', 'L. Goretzka', 'M. Gómez']",Germany
2H,720.0,1020.0,300.0,"['Seon-Min Moon', 'Young-Gwon Kim', 'Jae-Sung Lee', 'Yong Lee', 'Son Heung-Min', 'Woo-Young Jung', 'Young-Sun Yun', 'Chul Hong', 'Hyun-Woo Cho', 'Hyun-Soo Jang', 'Hwang Hee-Chan']",Korea Republic
2H,1020.0,1380.0,360.0,"['M. Özil', 'T. Kroos', 'N. Süle', 'M. Neuer', 'M. Hummels', 'J. Hector', 'J. Kimmich', 'M. Reus', 'T. Werner', 'M. Gómez', 'T. Müller']",Germany
2H,1020.0,1380.0,360.0,"['Seon-Min Moon', 'Young-Gwon Kim', 'Jae-Sung Lee', 'Yong Lee', 'Son Heung-Min', 'Woo-Young Jung', 'Young-Sun Yun', 'Chul Hong', 'Hyun-Woo Cho', 'Hyun-Soo Jang', 'Hwang Hee-Chan']",Korea Republic
2H,1380.0,1920.0,540.0,"['M. Özil', 'T. Kroos', 'N. Süle', 'M. Neuer', 'M. Hummels', 'J. Hector', 'J. Kimmich', 'M. Reus', 'T. Werner', 'M. Gómez', 'T. Müller']",Germany
2H,1380.0,1920.0,540.0,"['Young-Gwon Kim', 'Jae-Sung Lee', 'Yong Lee', 'Son Heung-Min', 'Woo-Young Jung', 'Young-Sun Yun', 'Chul Hong', 'Hyun-Woo Cho', 'Hyun-Soo Jang', 'Hwang Hee-Chan', 'Se-Jong Ju']",Korea Republic
2H,1920.0,1980.0,60.0,"['M. Özil', 'T. Kroos', 'N. Süle', 'M. Neuer', 'M. Hummels', 'J. Kimmich', 'M. Reus', 'T. Werner', 'M. Gómez', 'T. Müller', 'J. Brandt']",Germany
2H,1920.0,1980.0,60.0,"['Young-Gwon Kim', 'Jae-Sung Lee', 'Yong Lee', 'Son Heung-Min', 'Woo-Young Jung', 'Young-Sun Yun', 'Chul Hong', 'Hyun-Woo Cho', 'Hyun-Soo Jang', 'Hwang Hee-Chan', 'Se-Jong Ju']",Korea Republic
2H,1980.0,3258.367,1338.3670000000002,"['M. Özil', 'T. Kroos', 'N. Süle', 'M. Neuer', 'M. Hummels', 'J. Kimmich', 'M. Reus', 'T. Werner', 'M. Gómez', 'T. Müller', 'J. Brandt']",Germany
2H,1980.0,3258.367,1338.3670000000002,"['Young-Gwon Kim', 'Jae-Sung Lee', 'Yong Lee', 'Son Heung-Min', 'Woo-Young Jung', 'Young-Sun Yun', 'Chul Hong', 'Hyun-Woo Cho', 'Hyun-Soo Jang', 'Yo-Han Go', 'Se-Jong Ju']",Korea Republic
