period,start_time,end_time,duration,player_names,team_name
1H,0.0,2881.599,2881.599,"['조현우', '이용', '윤영선', '김영권', '홍철', '이재성', '정우영', '장현수', '문선민', '구자철', '손흥민']",대한민국
1H,0.0,2881.599,2881.599,"['M. 노이어', 'J. 키미히', 'M. 훔멜스', 'N. 슐레', 'J. 헥터', 'S. 케디라', 'T. 크로스', 'L. 고레츠카', 'M. 외질', 'M. 로이스', 'T. 베르너']",독일
2H,0.0,600.0,600.0,"['조현우', '이용', '윤영선', '김영권', '홍철', '이재성', '정우영', '장현수', '문선민', '구자철', '손흥민']",대한민국
2H,0.0,600.0,600.0,"['M. 노이어', 'J. 키미히', 'M. 훔멜스', 'N. 슐레', 'J. 헥터', 'S. 케디라', 'T. 크로스', 'L. 고레츠카', 'M. 외질', 'M. 로이스', 'T. 베르너']",독일
2H,600.0,720.0,120.0,"['조현우', '이용', '윤영선', '김영권', '홍철', '이재성', '정우영', '장현수', '문선민', '황희찬', '손흥민']",대한민국
2H,600.0,720.0,120.0,"['M. 노이어', 'J. 키미히', 'M. 훔멜스', 'N. 슐레', 'J. 헥터', 'S. 케디라', 'T. 크로스', 'L. 고레츠카', 'M. 외질', 'M. 로이스', 'T. 베르너']",독일
2H,720.0,1020.0,300.0,"['조현우', '이용', '윤영선', '김영권', '홍철', '이재성', '정우영', '장현수', '문선민', '황희찬', '손흥민']",대한민국
2H,720.0,1020.0,300.0,"['M. 노이어', 'J. 키미히', 'M. 훔멜스', 'N. 슐레', 'J. 헥터', 'M. 고메스', 'T. 크로스', 'L. 고레츠카', 'M. 외질', 'M. 로이스', 'T. 베르너']",독일
2H,1020.0,1380.0,360.0,"['조현우', '이용', '윤영선', '김영권', '홍철', '이재성', '정우영', '장현수', '문선민', '황희찬', '손흥민']",대한민국
2H,1020.0,1380.0,360.0,"['M. 노이어', 'J. 키미히', 'M. 훔멜스', 'N. 슐레', 'J. 헥터', 'M. 고메스', 'T. 크로스', 'T. 뮐러', 'M. 외질', 'M. 로이스', 'T. 베르너']",독일
2H,1380.0,1920.0,540.0,"['조현우', '이용', '윤영선', '김영권', '홍철', '이재성', '정우영', '장현수', '주세종', '황희찬', '손흥민']",대한민국
2H,1380.0,1920.0,540.0,"['M. 노이어', 'J. 키미히', 'M. 훔멜스', 'N. 슐레', 'J. 헥터', 'M. 고메스', 'T. 크로스', 'T. 뮐러', 'M. 외질', 'M. 로이스', 'T. 베르너']",독일
2H,1920.0,1980.0,60.0,"['조현우', '이용', '윤영선', '김영권', '홍철', '이재성', '정우영', '장현수', '주세종', '황희찬', '손흥민']",대한민국
2H,1920.0,1980.0,60.0,"['M. 노이어', 'J. 키미히', 'M. 훔멜스', 'N. 슐레', 'J. 브란트', 'M. 고메스', 'T. 크로스', 'T. 뮐러', 'M. 외질', 'M. 로이스', 'T. 베르너']",독일
2H,1980.0,3258.367,1338.3670000000002,"['조현우', '이용', '윤영선', '김영권', '홍철', '이재성', '정우영', '장현수', '주세종', '고요한', '손흥민']",대한민국
2H,1980.0,3258.367,1338.3670000000002,"['M. 노이어', 'J. 키미히', 'M. 훔멜스', 'N. 슐레', 'J. 브란트', 'M. 고메스', 'T. 크로스', 'T. 뮐러', 'M. 외질', 'M. 로이스', 'T. 베르너']",독일
