,player_name,team_id,player_id,playing_time,goals,assists,own_goals,total_shots,shots_on_target,rfoot_shots,lfoot_shots,header_shots,fouls,offsides,yellow_cards,red_cards,total_passes,acc_passes,pass_accuracy,key_passes,interceptions,tackle,tackle_accuracy,clearances,successful_tackles,total_saves,successful_saves,save_rate,goals_per_90min,assists_per_90min,total_shots_per_90min,shots_on_target_per_90min,total_passes_per_90min,interceptions_per_90min,tackle_per_90min,clearances_per_90min,total_saves_per_90min,save_rate_per_90min
2,A. Badri,48828,84282,14734.6,0,0,0,2,2,0,2,0,4,1,1,0,84,75,2.72,1,9,26,1.64,2,15,0,0,0,0.0,0.0,0.7,0.7,30.8,3.3,9.5,0.7,0.0,0.0
3,A. Behich,25479,184953,17195.5,0,0,1,2,0,1,1,0,4,0,1,0,164,135,2.47,0,11,42,1.88,2,26,0,0,0,0.0,0.0,0.6,0.0,51.5,3.5,13.2,0.6,0.0,0.0
4,A. Beiranvand,32520,714093,17744.5,0,0,0,0,0,0,0,0,0,0,0,0,39,31,2.38,0,0,1,1.0,0,1,10,8,0,0.0,0.0,0.0,0.0,11.9,0.0,0.3,0.0,3.0,0.0
6,A. Carrillo,46782,210468,16395.1,1,0,0,3,2,2,1,0,2,1,0,0,101,81,2.39,2,5,67,2.05,0,45,0,0,0,0.3,0.0,1.0,0.7,33.3,1.6,22.1,0.0,0.0,0.0
7,A. Christensen,23136,405309,16382.3,0,0,0,0,0,0,0,0,2,0,0,0,148,141,2.85,0,18,12,2.67,13,11,0,0,0,0.0,0.0,0.0,0.0,48.8,5.9,4.0,4.3,0.0,0.0
8,A. Cooper,35858,172822,11612.7,0,0,0,1,0,1,0,0,4,0,2,0,71,62,1.75,3,4,34,1.2999999999999998,0,22,0,0,0,0.0,0.0,0.5,0.0,33.0,1.9,15.8,0.0,0.0,0.0
9,A. Cornelius,15424,270300,6056.9,0,0,0,1,1,0,0,1,2,0,0,0,17,10,1.18,1,1,15,1.16,0,11,0,0,0,0.0,0.0,0.9,0.9,15.2,0.9,13.4,0.0,0.0,0.0
11,A. Dzyuba,43074,305007,12028.2,2,0,0,4,2,1,1,2,11,2,0,0,42,33,2.39,1,4,50,1.75,2,28,0,0,0,0.9,0.0,1.8,0.9,18.9,1.8,22.4,0.9,0.0,0.0
12,A. Ekdal,21141,62628,15137.3,0,0,0,0,0,0,0,0,2,0,1,0,101,88,2.43,0,11,37,2.13,1,27,0,0,0,0.0,0.0,0.0,0.0,36.0,3.9,13.2,0.4,0.0,0.0
13,A. El Kaabi,32432,1105110,6117.9,0,0,0,1,0,0,1,0,2,0,0,0,5,4,1.67,0,0,3,1.5,1,2,0,0,0,0.0,0.0,0.9,0.0,4.4,0.0,2.6,0.9,0.0,0.0
