number,name,birth,position,height,weight,foot,club,isCaptain,isSprinter,isChanceMaker,isIronBody,isCounterAttackSpecialist,isPlayMaker,isCannonShooter,isFinisher,isTackler,isDiver,isDribbler,isTargetMan,isSuperSub,isGameChanger,isPinPointPasser,isEarlyCrosser,isHardWorker,isHeader,isFastReact,isVolleyShooter,isLineBreaker,isGoat
1,위고 요리스,1986-12-26,GK,188,82,left,토트넘 홋스퍼 FC,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2,뱅자맹 파바르,1996-3-28,RB,186,81,right,VfB 슈투트가르트,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
4,라파엘 바란,1993-4-25,CB,191,81,right,레알 마드리드 CF,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
5,사무엘 움티티,1993-11-14,CB,182,75,left,FC 바르셀로나,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
21,뤼카 에르난데스,1996-2-14,LB,184,79,left,아틀레티코 마드리드,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13,은골로 캉테,1991-3-29,CM,171,71,right,첼시 FC,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
6,폴 포그바,1993-3-15,CM,191,84,right,맨체스터 유나이티드 FC,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,킬리앙 음바페,1998-12-20,RW,178,73,right,파리 생제르맹 FC,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
20,플로리앙 토뱅,1993-1-26,RW,179,70,right,올랭피크 드 마르세유,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,앙투안 그리즈만,1991-3-21,AM,176,73,left,아틀레티코 마드리드,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
18,나빌 페키르,1993-7-18,AM,173,72,left,올랭피크 리옹,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
14,블레즈 마튀이디,1987-4-9,LW,180,76,left,유벤투스 FC,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
12,코랑탱 톨리소,1994-8-3,LW,181,78,right,FC 바이에른 뮌헨,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
9,올리비에 지루,1986-9-30,CF,193,91,left,첼시 FC,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
